candidate_id,n,h,d,k,a,w,q,tree_height,tree_bits,leaf_bits,wots_logw,wots_len1,wots_len2,wots_len,fors_msg_bits,fors_msg_bytes,hmsg_needed_bytes,pk_bytes,sk_bytes,sig_bytes,struct_pass,reject_reason
1344,16,63,7,33,6,256,1048576,9,54,9,8,16,2,18,198,25,34,32,64,6736,1,
25,16,60,6,17,8,16,65536,10,50,10,4,32,3,35,136,17,26,32,64,6784,1,
26,16,60,6,17,8,16,1048576,10,50,10,4,32,3,35,136,17,26,32,64,6784,1,
39,16,60,6,17,14,256,65536,10,50,10,8,16,2,18,238,30,39,32,64,6784,1,
40,16,60,6,17,14,256,1048576,10,50,10,8,16,2,18,238,30,39,32,64,6784,1,
9,16,60,6,14,10,16,65536,10,50,10,4,32,3,35,140,18,27,32,64,6800,1,
10,16,60,6,14,10,16,1048576,10,50,10,4,32,3,35,140,18,27,32,64,6800,1,
41,16,60,6,22,6,16,65536,10,50,10,4,32,3,35,132,17,26,32,64,6800,1,
42,16,60,6,22,6,16,1048576,10,50,10,4,32,3,35,132,17,26,32,64,6800,1,
1301,16,63,7,17,6,16,65536,9,54,9,4,32,3,35,102,13,22,32,64,6848,1,
1302,16,63,7,17,6,16,1048576,9,54,9,4,32,3,35,102,13,22,32,64,6848,1,
1795,16,64,8,17,12,256,65536,8,56,8,8,16,2,18,204,26,34,32,64,6880,1,
1796,16,64,8,17,12,256,1048576,8,56,8,8,16,2,18,204,26,34,32,64,6880,1,
2425,16,66,6,17,8,16,65536,11,55,11,4,32,3,35,136,17,26,32,64,6880,1,
2426,16,66,6,17,8,16,1048576,11,55,11,4,32,3,35,136,17,26,32,64,6880,1,
2439,16,66,6,17,14,256,65536,11,55,11,8,16,2,18,238,30,39,32,64,6880,1,
2440,16,66,6,17,14,256,1048576,11,55,11,8,16,2,18,238,30,39,32,64,6880,1,
2409,16,66,6,14,10,16,65536,11,55,11,4,32,3,35,140,18,27,32,64,6896,1,
2410,16,66,6,14,10,16,1048576,11,55,11,4,32,3,35,140,18,27,32,64,6896,1,
2441,16,66,6,22,6,16,65536,11,55,11,4,32,3,35,132,17,26,32,64,6896,1,
2442,16,66,6,22,6,16,1048576,11,55,11,4,32,3,35,132,17,26,32,64,6896,1,
1331,16,63,7,22,10,256,65536,9,54,9,8,16,2,18,220,28,37,32,64,6912,1,
1332,16,63,7,22,10,256,1048576,9,54,9,8,16,2,18,220,28,37,32,64,6912,1,
1285,16,63,7,14,8,16,65536,9,54,9,4,32,3,35,112,14,23,32,64,6960,1,
1286,16,63,7,14,8,16,1048576,9,54,9,4,32,3,35,112,14,23,32,64,6960,1,
1823,16,64,8,33,6,256,65536,8,56,8,8,16,2,18,198,25,33,32,64,7040,1,
1824,16,64,8,33,6,256,1048576,8,56,8,8,16,2,18,198,25,33,32,64,7040,1,
1761,16,64,8,14,6,16,65536,8,56,8,4,32,3,35,84,11,19,32,64,7088,1,
1762,16,64,8,14,6,16,1048576,8,56,8,4,32,3,35,84,11,19,32,64,7088,1,
1319,16,63,7,17,14,256,65536,9,54,9,8,16,2,18,238,30,39,32,64,7120,1,
1320,16,63,7,17,14,256,1048576,9,54,9,8,16,2,18,238,30,39,32,64,7120,1,
2655,16,66,11,14,12,256,65536,6,60,6,8,16,2,18,168,21,30,32,64,7152,1,
2656,16,66,11,14,12,256,1048576,6,60,6,8,16,2,18,168,21,30,32,64,7152,1,
